ASPECT	VALUE	TYPE	SUPERCLASS	DOLCE
CONTENT#TOPIC	Reacher, jack (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Readers	subject	SocialAgent	
CONTENT#TOPIC	Readers in fiction	subject	SocialAgent	
CONTENT#TOPIC	Reading	subject	Event	Event
CONTENT#TOPIC	Reading Group Guide	subject	Event	Event
CONTENT#TOPIC	Reading Level-Grade 10	subject	InformationObject	
CONTENT#TOPIC	Reading Level-Grade 11	subject	InformationObject	
CONTENT#TOPIC	Reading Level-Grade 12	subject	InformationObject	
CONTENT#TOPIC	Reading Level-Grade 4	subject	InformationObject	
CONTENT#TOPIC	Reading Level-Grade 5	subject	InformationObject	
CONTENT#TOPIC	Reading Level-Grade 6	subject	InformationObject	
CONTENT#TOPIC	Reading Level-Grade 7	subject	InformationObject	
CONTENT#TOPIC	Reading Level-Grade 8	subject	InformationObject	
CONTENT#TOPIC	Reading Level-Grade 9	subject	InformationObject	
CONTENT#TOPIC	Reading comprehension	subject	Event	Event
CONTENT#TOPIC	Reading list	subject	Event	Event
CONTENT#TOPIC	Reading materials	subject	Event	Event
CONTENT#TOPIC	Reason	subject	Abstract	Abstract
CONTENT#TOPIC	Recitations	subject	Event	Event
CONTENT#TOPIC	Reconciliation	subject	Person	Person
CONTENT#TOPIC	Reference	subject	Event	Event
CONTENT#TOPIC	Reference, Information and Interdisciplinary Subjects	subject	Event	Event
CONTENT#TOPIC	Refraction	subject	Event	Event
CONTENT#TOPIC	Regression (Civilization)	subject	Event	Event
CONTENT#TOPIC	Regret in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Reincarnation	subject	Person	Person
CONTENT#TOPIC	Rejection (Psychology)	subject	Event	Event
CONTENT#TOPIC	Relationship Novel	subject	Event	Event
CONTENT#TOPIC	Relativity (Physics)	subject	Description	Description
CONTENT#TOPIC	Religion	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Religion & Spirituality	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Religion / Bible / General	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Religion and politics	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Religion and sociology	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Religious Psychology	subject	Abstract	Abstract
CONTENT#TOPIC	Religious aspects	subject	Abstract	Abstract
CONTENT#TOPIC	Religious aspects of Evolution	subject	Event	Event
CONTENT#TOPIC	Religious aspects of Folly	subject	Abstract	Abstract
CONTENT#TOPIC	Religious aspects of Love	subject	Event	Event
CONTENT#TOPIC	Religious aspects of Science	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Religious aspects of Self-realization	subject	Event	Event
CONTENT#TOPIC	Religious aspects of Success	subject	Event	Event
CONTENT#TOPIC	Religious aspects of Truth	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Religious fundamentalism	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Remarriage	subject	InformationObject	
CONTENT#TOPIC	Remarried people	subject	Person	Person
CONTENT#TOPIC	Repentance	subject	Abstract	Abstract
CONTENT#TOPIC	Report writing	subject	Event	Event
CONTENT#TOPIC	Reporters and reporting	subject	Person	Person
CONTENT#TOPIC	Representative government and representation	subject	Event	Event
CONTENT#TOPIC	Research	subject	Event	Event
CONTENT#TOPIC	Residence	subject	Event	Event
CONTENT#TOPIC	Retellings	subject	Event	Event
CONTENT#TOPIC	Retired military personnel	subject	Person	Person
CONTENT#TOPIC	Retired teachers	subject	Person	Person
CONTENT#TOPIC	Return of the native (Hardy	subject	Event	Event
CONTENT#TOPIC	Returns from Troy	topic	Event	Event
CONTENT#TOPIC	Revolutionaries	subject	Person	Person
CONTENT#TOPIC	Revolutions	subject	Event	Event
CONTENT#TOPIC	Revolutions in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Rhesus (Legendary character)	subject	Person	Person
CONTENT#TOPIC	Rhetoric, ancient	subject	Quality	Quality
CONTENT#TOPIC	Rich	subject	Person	Person
CONTENT#TOPIC	Rich people	subject	Person	Person
CONTENT#TOPIC	Richard Hannay (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Richard III of England	human	Person	Person
CONTENT#TOPIC	Rites and ceremonies	subject	Person	Person
CONTENT#TOPIC	River boats	subject	Abstract	Abstract
CONTENT#TOPIC	River life	subject	Event	Event
CONTENT#TOPIC	Rizzoli, jane, detective (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Robbers and outlaws	subject	Person	Person
CONTENT#TOPIC	Robert Langdon (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Rock music, discography	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Rock musicians	subject	Abstract	Abstract
CONTENT#TOPIC	Roland (Fictitious character : King)	subject	Person	Person
CONTENT#TOPIC	Roman Catholic Church	subject	Organization	Organization
CONTENT#TOPIC	Roman Empire	historical period	Person	Person
CONTENT#TOPIC	Roman History	subject	Person	Person
CONTENT#TOPIC	Roman Mythology	subject	Person	Person
CONTENT#TOPIC	Roman Personal narratives	subject	Person	Person
CONTENT#TOPIC	Roman Roman mythology	subject	Person	Person
CONTENT#TOPIC	Roman a suspense	subject	Situation	Situation
CONTENT#TOPIC	Roman historique	subject	Person	Person
CONTENT#TOPIC	Roman invasion of Britain	subject	Event	Event
CONTENT#TOPIC	Roman romance	subject	Person	Person
CONTENT#TOPIC	Roman suspens	subject	Person	Person
CONTENT#TOPIC	Romance fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Romance literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Romance-language fiction	subject	InformationObject	
CONTENT#TOPIC	Romances, history and criticism	subject	Person	Person
CONTENT#TOPIC	Romani language	subject	InformationObject	
CONTENT#TOPIC	Romans, great britain	subject	Person	Person
CONTENT#TOPIC	Rome (Italy)	subject	Abstract	Abstract
CONTENT#TOPIC	Rome Civil War, 49-45 B.C.	subject	Event	Event
CONTENT#TOPIC	Rome, biography	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Rome, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Rome, history, empire, 30 b.c.-476 a.d.	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Rome, politics and government	subject	Event	Event
CONTENT#TOPIC	Royal houses	subject	Abstract	Abstract
CONTENT#TOPIC	Runaway husbands in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Runaway teenagers in literature	subject	InformationObject	
CONTENT#TOPIC	Rural conditions	subject	Situation	Situation
CONTENT#TOPIC	Ruritania (imaginary place), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Russia (federation), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Russia -- Social conditions -- 1801-1917 -- Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Russia in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Russian	subject	Abstract	Abstract
CONTENT#TOPIC	Russian & Former Soviet Union	subject	Abstract	Abstract
CONTENT#TOPIC	Russian Novel	subject	InformationObject	InformationObject
CONTENT#TOPIC	Russian Short stories	subject	Event	Event
CONTENT#TOPIC	Russian drama	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Russian fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Russian language	subject	InformationObject	
CONTENT#TOPIC	Russian language books	subject	InformationObject	
CONTENT#TOPIC	Russian language edition	subject	InformationObject	
CONTENT#TOPIC	Russian literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Ryan, Jack (Fictitious character) -- Fiction	subject	SocialObject	SocialObject
CONTENT#TOPIC	SCIENCE / General	subject	Quality	Quality
CONTENT#TOPIC	SCIENCE / Life Sciences / General	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	SCIENCE / Life Sciences / Zoology / General	subject	Situation	Situation
CONTENT#TOPIC	SCIENCE / Physics	subject	Abstract	Abstract
CONTENT#TOPIC	SCIENCE FICTION	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	SOCIAL SCIENCE	subject	SocialObject	SocialObject
CONTENT#TOPIC	Sacred books	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Sailing, Single-handed	subject	Event	Event
CONTENT#TOPIC	Sailors in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Saint Bartholomew's Day, Massacre of, France, 1572	subject	Event	Event
CONTENT#TOPIC	Salamis, Battle of, Greece, 480 B.C.	subject	Event	Event
CONTENT#TOPIC	Sale Books	subject	Abstract	Abstract
CONTENT#TOPIC	Salem’s Lot	subject	Abstract	Abstract
CONTENT#TOPIC	Saltwater fishing	subject	Abstract	Abstract
CONTENT#TOPIC	Samuel Johnson	human	Person	Person
CONTENT#TOPIC	Samuel Vimes (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Satire	subject	Abstract	Abstract
CONTENT#TOPIC	Satirical fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Sawyer, tom (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	School	subject	Abstract	Abstract
CONTENT#TOPIC	School & Education	subject	Organization	Organization
CONTENT#TOPIC	School integration	subject	Organization	Organization
CONTENT#TOPIC	School shootings	subject	Organization	Organization
CONTENT#TOPIC	School stories	subject	Abstract	Abstract
CONTENT#TOPIC	Schools	subject	Organization	Organization
CONTENT#TOPIC	Schools -- Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Schools in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Schools, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Schools--fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Science	subject	Abstract	Abstract
CONTENT#TOPIC	Science Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Science Fiction & Fantasy	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Science Fiction, Fantasy, & Magic	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Science and civilization	subject	Collection	Collection
CONTENT#TOPIC	Science and state	subject	Situation	Situation
CONTENT#TOPIC	Science fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Science fiction, American	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Science, miscellanea	subject	Event	Event
CONTENT#TOPIC	Scientific expeditions	subject	Abstract	Abstract
CONTENT#TOPIC	Scientific socialism	subject	SocialObject	SocialObject
CONTENT#TOPIC	Scientists	subject	Person	Person
CONTENT#TOPIC	Scientists, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Scotland	subject	Abstract	Abstract
CONTENT#TOPIC	Scotland Yard	subject	Abstract	Abstract
CONTENT#TOPIC	Scotland in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Scotland, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Scots	subject	Event	Event
CONTENT#TOPIC	Scottish Americans	subject	Person	Person
CONTENT#TOPIC	Scottish Authors	subject	Person	Person
CONTENT#TOPIC	Scottish Children’s Book Award winner	subject	SocialAgent	
CONTENT#TOPIC	Scottish Philosophy	subject	Abstract	Abstract
CONTENT#TOPIC	Scottish fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Screen play	subject	Organization	Organization
CONTENT#TOPIC	Scrooge, ebenezer (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Scythians	subject	Person	Person
CONTENT#TOPIC	Sea poetry	subject	Abstract	Abstract
CONTENT#TOPIC	Sea stories	subject	Abstract	Abstract
CONTENT#TOPIC	Seafaring life	subject	Event	Event
CONTENT#TOPIC	Sealers (Persons)	subject	Person	Person
CONTENT#TOPIC	Sealing in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Sealing ships	subject	Event	Event
CONTENT#TOPIC	Sealing ships in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Seattle (wash.), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Second War World	subject	Event	Event
CONTENT#TOPIC	Secret service	subject	Quality	Quality
CONTENT#TOPIC	Secret societies	subject	Abstract	Abstract
CONTENT#TOPIC	Secular life and customs	subject	Description	Description
CONTENT#TOPIC	Seduction	subject	Event	Event
CONTENT#TOPIC	Seduction, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Selections, extracts	subject	Event	Event
CONTENT#TOPIC	Self-Improvement	subject	Event	Event
CONTENT#TOPIC	Self-acceptance	subject	Event	Event
CONTENT#TOPIC	Self-actualization (Psychology)	subject	Event	Event
CONTENT#TOPIC	Self-actualization (psychology)	subject	Event	Event
CONTENT#TOPIC	Self-experimentation in medicine	subject	Person	Person
CONTENT#TOPIC	Self-experimentation in medicine in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Self-help techniques	subject	Event	Event
CONTENT#TOPIC	Self-perception	subject	Event	Event
CONTENT#TOPIC	Self-realization	subject	Event	Event
CONTENT#TOPIC	Self-realization in women	subject	Person	Person
CONTENT#TOPIC	Self-reliance	subject	Event	Event
CONTENT#TOPIC	Semiotics	subject	Person	Person
CONTENT#TOPIC	Separated people	subject	Person	Person
CONTENT#TOPIC	Separated women	subject	Person	Person
CONTENT#TOPIC	Separation (Psychology)	subject	Event	Event
CONTENT#TOPIC	Serial killers	subject	Person	Person
CONTENT#TOPIC	Serial murderers	subject	Person	Person
CONTENT#TOPIC	Serial murders	subject	Abstract	Abstract
CONTENT#TOPIC	Serial murders, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Series	subject	Abstract	Abstract
CONTENT#TOPIC	Seven Kingdoms (Imaginary place)	subject	Abstract	Abstract
CONTENT#TOPIC	Seven kingdoms (imaginary place), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Seventeenth century	subject	SocialAgent	
CONTENT#TOPIC	Seventh-Day Adventists	subject	Person	Person
CONTENT#TOPIC	Sex customs	subject	Description	Description
CONTENT#TOPIC	Sex role	subject	Role	Role
CONTENT#TOPIC	Sexual behavior	subject	Event	Event
CONTENT#TOPIC	Sexual dominance and submission	subject	Event	Event
CONTENT#TOPIC	Sexual dominance and submission, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Sexual intercourse	subject	Abstract	Abstract
CONTENT#TOPIC	Shakespeare plays, texts	subject	Person	Person
CONTENT#TOPIC	Shakespeare, William, 1564-1616	subject	Person	Person
CONTENT#TOPIC	Shakespeare, William, 1564-1616. Henry IV	subject	Person	Person
CONTENT#TOPIC	Shakespeare, William. Much ado about nothing	subject	Person	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, adaptations	subject	Person	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, coriolanus	subject	Person	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, juvenile literature	subject	InformationObject	
CONTENT#TOPIC	Shakespeare, william, 1564-1616, king henry iv	subject	Person	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, king henry v	subject	Person	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, king henry vi	subject	Person	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, king henry viii	subject	Person	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, love's labour's lost	subject	Person	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, timon of athens	subject	Person	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, two gentlemen of verona	subject	Person	Person
CONTENT#TOPIC	Shakespreare, William, 1564-1616. Henry VI	subject	Person	Person
CONTENT#TOPIC	Shapeshifters	subject	Abstract	Abstract
CONTENT#TOPIC	Sharing, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Ship captains	subject	Person	Person
CONTENT#TOPIC	Ship captains in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Shipwreck survival	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Shipwrecks	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Short Stories	subject	Event	Event
CONTENT#TOPIC	Short stories	subject	Event	Event
CONTENT#TOPIC	Short stories, french, translations into english	subject	Event	Event
CONTENT#TOPIC	Short story	subject	Event	Event
CONTENT#TOPIC	Shylock (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Siblings	subject	Person	Person
CONTENT#TOPIC	Siblings, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Sick children	subject	SocialAgent	
CONTENT#TOPIC	Signs and symbols	subject	Event	Event
CONTENT#TOPIC	Single parents	subject	Person	Person
CONTENT#TOPIC	Single women	subject	Person	Person
CONTENT#TOPIC	Single women, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Single-handed sailing	subject	Event	Event
CONTENT#TOPIC	Single-parent families, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Sir Blakeney, Percy (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Sir Falstaff, John (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Sir Ivanhoe, Wilfred of (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Sir Walter Scott	subject	Person	Person
CONTENT#TOPIC	Sisters	subject	Person	Person
CONTENT#TOPIC	Sisters, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Slavery	subject	Event	Event
CONTENT#TOPIC	Slavery & emancipation	subject	Person	Person
CONTENT#TOPIC	Slaves	subject	Person	Person
CONTENT#TOPIC	Slaves' writings, American	subject	Event	Event
CONTENT#TOPIC	Slaves, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Slaves, united states	subject	Person	Person
CONTENT#TOPIC	Slaves, united states, social conditions	subject	Situation	Situation
CONTENT#TOPIC	Smith, patti, 1946-	subject	Person	Person
CONTENT#TOPIC	Smoking	subject	Event	Event
CONTENT#TOPIC	Snipers	subject	Person	Person
CONTENT#TOPIC	Social Science / Penology	subject	Person	Person
CONTENT#TOPIC	Social and moral questions	subject	Collection	Collection
CONTENT#TOPIC	Social change in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Social classes	subject	Collection	Collection
CONTENT#TOPIC	Social classes, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Social conflict	subject	Event	Event
CONTENT#TOPIC	Social contract	subject	Event	Event
CONTENT#TOPIC	Social history, medieval, 500-1500	subject	InformationObject	InformationObject
